"Series Description","Percent change of total consumer credit, seasonally adjusted at an annual rate","Percent change of total revolving consumer credit, seasonally adjusted at an annual rate","Percent change of total nonrevolving consumer credit, seasonally adjusted at an annual rate","Total consumer credit owned and securitized, seasonally adjusted level","Revolving consumer credit owned and securitized, seasonally adjusted level","Nonrevolving consumer credit owned and securitized, seasonally adjusted level","Total consumer credit owned and securitized, not seasonally adjusted level","Total securitized consumer credit, not seasonally adjusted level","Total consumer credit owned and securitized by depository institutions, not seasonally adjusted level","Total consumer credit owned by depository institutions, not seasonally adjusted level","Total consumer credit owned by commercial banks, not seasonally adjusted level (discontinued after February 2011)","Total consumer credit owned by savings institutions, not seasonally adjusted level (discontinued after February 2011)","Total consumer credit securitized by depository institutions, not seasonally adjusted level","Total consumer credit owned and securitized by finance companies, not seasonally adjusted level","Total consumer credit owned by finance companies, not seasonally adjusted level","Total consumer credit securitized by finance companies, not seasonally adjusted level","Total consumer credit owned by credit unions, not seasonally adjusted level","Total consumer credit owned by federal government, not seasonally adjusted level","Total consumer credit owned by nonprofit and educational institutions, not seasonally adjusted level","Total consumer credit owned and securitized by nonfinancial business, not seasonally adjusted level","Total consumer credit owned by nonfinancial business, not seasonally adjusted level","Total consumer credit securitized by nonfinancial business, not seasonally adjusted level","Revolving consumer credit owned and securitized, not seasonally adjusted level","Revolving securitized consumer credit, not seasonally adjusted level","Revolving consumer credit owned and securitized by depository institutions, not seasonally adjusted level","Revolving consumer credit owned by depository institutions, not seasonally adjusted level","Revolving consumer credit owned by commercial banks, not seasonally adjusted level (discontinued after February 2011)","Revolving consumer credit owned by savings institutions, not seasonally adjusted level (discontinued after February 2011)","Revolving consumer credit securitized by depository institutions, not seasonally adjusted level","Revolving consumer credit owned and securitized by finance companies, not seasonally adjusted level","Revolving consumer credit owned by finance companies, not seasonally adjusted level","Revolving consumer credit securitized by finance companies, not seasonally adjusted level","Revolving consumer credit owned by credit unions, not seasonally adjusted level","Revolving consumer credit owned and securitized by nonfinancial business, not seasonally adjusted level","Revolving consumer credit owned by nonfinancial business, not seasonally adjusted level","Revolving consumer credit securitized by nonfinancial business, not seasonally adjusted level","Nonrevolving consumer credit owned and securitized, not seasonally adjusted level","Nonrevolving securitized consumer credit, not seasonally adjusted level","Nonrevolving consumer credit owned and securitized by depository institutions, not seasonally adjusted level","Nonrevolving consumer credit owned by depository institutions, not seasonally adjusted level","Nonrevolving consumer credit owned by commercial banks, not seasonally adjusted level (discontinued after February 2011)","Nonrevolving consumer credit owned by savings institutions, not seasonally adjusted level (discontinued after February 2011)","Nonrevolving consumer credit securitized by depository institutions, not seasonally adjusted level","Nonrevolving consumer credit owned and securitized by finance companies, not seasonally adjusted level","Nonrevolving consumer credit owned by finance companies, not seasonally adjusted level","Nonrevolving consumer credit securitized by finance companies, not seasonally adjusted level","Nonrevolving consumer credit owned by credit unions, not seasonally adjusted level","Nonrevolving consumer credit owned by federal government, not seasonally adjusted level","Nonrevolving consumer credit owned by nonprofit and educational institutions, not seasonally adjusted level","Nonrevolving consumer credit owned and securitized by nonfinancial business, not seasonally adjusted level","Nonrevolving consumer credit owned by nonfinancial business, not seasonally adjusted level","Nonrevolving consumer credit securitized by nonfinancial business, not seasonally adjusted level","Student loans owned and securitized, not seasonally adjusted level","Motor vehicle loans owned and securitized, not seasonally adjusted level","Total consumer credit owned and securitized, seasonally adjusted flow, monthly rate","Revolving consumer credit owned and securitized, seasonally adjusted flow, monthly rate","Nonrevolving consumer credit owned and securitized, seasonally adjusted flow, monthly rate","Total consumer credit owned and securitized, not seasonally adjusted flow, monthly rate","Total securitized consumer credit, not seasonally adjusted flow, monthly rate","Total consumer credit owned and securitized by depository institutions, not seasonally adjusted flow, monthly rate","Total consumer credit owned by depository institutions, not seasonally adjusted flow, monthly rate","Total consumer credit owned by commercial banks, not seasonally adjusted flow, monthly rate (discontinued after February 2011)","Total consumer credit owned by savings institutions, not seasonally adjusted flow, monthly rate (discontinued after February 2011)","Total consumer credit securitized by depository institutions, not seasonally adjusted flow, monthly rate","Total consumer credit owned and securitized by finance companies, not seasonally adjusted flow, monthly rate","Total consumer credit owned by finance companies, not seasonally adjusted flow, monthly rate","Total consumer credit securitized by finance companies, not seasonally adjusted flow, monthly rate","Total consumer credit owned by credit unions, not seasonally adjusted flow, monthly rate","Total consumer credit owned by federal government, not seasonally adjusted flow, monthly rate","Total consumer credit owned by nonprofit and educational institutions, not seasonally adjusted flow, monthly rate","Total consumer credit owned and securitized by nonfinancial business, not seasonally adjusted flow, monthly rate","Total consumer credit owned by nonfinancial business, not seasonally adjusted flow, monthly rate","Total consumer credit securitized by nonfinancial business, not seasonally adjusted flow, monthly rate","Revolving consumer credit owned and securitized, not seasonally adjusted flow, monthly rate","Revolving securitized consumer credit, not seasonally adjusted flow, monthly rate","Revolving consumer credit owned and securitized by depository institutions, not seasonally adjusted flow, monthly rate","Revolving consumer credit owned by depository institutions, not seasonally adjusted flow, monthly rate","Revolving consumer credit owned by commercial banks, not seasonally adjusted flow, monthly rate (discontinued after February 2011)","Revolving consumer credit owned by savings institutions, not seasonally adjusted flow, monthly rate (discontinued after February 2011)","Revolving consumer credit securitized by depository institutions, not seasonally adjusted flow, monthly rate","Revolving consumer credit owned and securitized by finance companies, not seasonally adjusted flow, monthly rate","Revolving consumer credit owned by finance companies, not seasonally adjusted flow, monthly rate","Revolving consumer credit securitized by finance companies, not seasonally adjusted flow, monthly rate","Revolving consumer credit owned by credit unions, not seasonally adjusted flow, monthly rate","Revolving consumer credit owned and securitized by nonfinancial business, not seasonally adjusted flow, monthly rate","Revolving consumer credit owned by nonfinancial business, not seasonally adjusted flow, monthly rate","Revolving consumer credit securitized by nonfinancial business, not seasonally adjusted flow, monthly rate","Nonrevolving consumer credit owned and securitized, not seasonally adjusted flow, monthly rate","Nonrevolving securitized consumer credit, not seasonally adjusted flow, monthly rate","Nonrevolving consumer credit owned and securitized by depository institutions, not seasonally adjusted flow, monthly rate","Nonrevolving consumer credit owned by depository institutions, not seasonally adjusted flow, monthly rate","Nonrevolving consumer credit owned by commercial banks, not seasonally adjusted flow, monthly rate (discontinued after February 2011)","Nonrevolving consumer credit owned by savings institutions, not seasonally adjusted flow, monthly rate (discontinued after February 2011)","Nonrevolving consumer credit securitized by depository institutions, not seasonally adjusted flow, monthly rate","Nonrevolving consumer credit owned and securitized by finance companies, not seasonally adjusted flow, monthly rate","Nonrevolving consumer credit owned by finance companies, not seasonally adjusted flow, monthly rate","Nonrevolving consumer credit securitized by finance companies, not seasonally adjusted flow, monthly rate","Nonrevolving consumer credit owned by credit unions, not seasonally adjusted flow, monthly rate","Nonrevolving consumer credit owned by federal government, not seasonally adjusted flow, monthly rate","Nonrevolving consumer credit owned by nonprofit and educational institutions, not seasonally adjusted flow, monthly rate","Nonrevolving consumer credit owned and securitized by nonfinancial business, not seasonally adjusted flow, monthly rate","Nonrevolving consumer credit owned by nonfinancial business, not seasonally adjusted flow, monthly rate","Nonrevolving consumer credit securitized by nonfinancial business, not seasonally adjusted flow, monthly rate","Student loans owned and securitized, not seasonally adjusted flow, monthly rate","Motor vehicle loans owned and securitized, not seasonally adjusted flow, monthly rate","Finance rate on consumer installment loans at commercial banks, new autos 48 month loan; not seasonally adjusted","Finance rate on consumer installment loans at commercial banks, new autos 60 month loan; not seasonally adjusted","Finance rate on personal loans at commercial banks, 24 month loan; not seasonally adjusted","Commercial bank interest rate on credit card plans, all accounts; not seasonally adjusted","Commercial bank interest rate on credit card plans, accounts assessed interest; not seasonally adjusted","New car average finance rate at auto finance companies, not seasonally adjusted (discontinued after January 2011)","Weighted-average maturity of new car loans at auto finance companies, not seasonally adjusted (discontinued after January 2011)","Loan-to-value ratio of new car loans at auto finance companies, not seasonally adjusted (discontinued after January 2011)","Average amount financed for new car loans at auto finance companies, not seasonally adjusted (discontinued after January 2011)","Average maturity of new car loans at finance companies, amount of finance weighted, not seasonally adjusted","Average finance rate of new car loans at finance companies, amount of finance weighted, not seasonally adjusted","Average amount financed for new car loans at finance companies, not seasonally adjusted"
"Unit:","Percent","Percent","Percent","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Percent","Percent","Percent","Percent","Percent","Percent","Months","Percent","Currency","Months","Percent","Currency"
"Multiplier:","1","1","1","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1","1","1","1","1","1","1","1","1","1","1","1"
"Currency:","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","NA","USD","USD","USD","USD","USD","USD","USD","USD","NA","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","NA","USD","NA","USD","USD","NA","USD","USD","USD","USD","NA","USD","NA","USD","USD","USD","NA","USD","NA","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","NA","USD","USD","USD","USD","USD","USD","USD","USD","NA","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","NA","USD","NA","USD","USD","NA","USD","USD","USD","USD","NA","USD","NA","USD","USD","USD","NA","USD","NA","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD"
"Unique Identifier: ","G19/CCOUT/DTCTL_@%A_BA.M","G19/CCOUT/DTCTLR_@%A_BA.M","G19/CCOUT/DTCTLN_@%A_BA.M","G19/CCOUT/DTCTL.M","G19/CCOUT/DTCTLR.M","G19/CCOUT/DTCTLN.M","G19/CCOUT/DTCTL_N.M","G19/CCOUT/DTCNL_N.M","G19/CCOUT/DTCTLHD_N.M","G19/CCOUT/DTCOLHD_N.M","G19/CCOUT/H0.DTCOLHDB_N.M","G19/CCOUT/H0.DTCOLHDS_N.M","G19/CCOUT/DTCNLHD_N.M","G19/CCOUT/DTCTLHF_N.M","G19/CCOUT/DTCOLHF_N.M","G19/CCOUT/DTCNLHF_N.M","G19/CCOUT/DTCOLHC_N.M","G19/CCOUT/DTCOLHG_N.M","G19/CCOUT/DTCOLHE_N.M","G19/CCOUT/DTCTLHN_N.M","G19/CCOUT/DTCOLHN_N.M","G19/CCOUT/DTCNLHN_N.M","G19/CCOUT/DTCTLR_N.M","G19/CCOUT/DTCNLR_N.M","G19/CCOUT/DTCTLRHD_N.M","G19/CCOUT/DTCOLRHD_N.M","G19/CCOUT/H0.DTCOLRHDB_N.M","G19/CCOUT/H0.DTCOLRHDS_N.M","G19/CCOUT/DTCNLRHD_N.M","G19/CCOUT/DTCTLRHF_N.M","G19/CCOUT/DTCOLRHF_N.M","G19/CCOUT/DTCNLRHF_N.M","G19/CCOUT/DTCOLRHC_N.M","G19/CCOUT/DTCTLRHN_N.M","G19/CCOUT/DTCOLRHN_N.M","G19/CCOUT/DTCNLRHN_N.M","G19/CCOUT/DTCTLN_N.M","G19/CCOUT/DTCNLN_N.M","G19/CCOUT/DTCTLNHD_N.M","G19/CCOUT/DTCOLNHD_N.M","G19/CCOUT/H0.DTCOLNHDB_N.M","G19/CCOUT/H0.DTCOLNHDS_N.M","G19/CCOUT/DTCNLNHD_N.M","G19/CCOUT/DTCTLNHF_N.M","G19/CCOUT/DTCOLNHF_N.M","G19/CCOUT/DTCNLNHF_N.M","G19/CCOUT/DTCOLNHC_N.M","G19/CCOUT/DTCOLNHG_N.M","G19/CCOUT/DTCOLNHE_N.M","G19/CCOUT/DTCTLNHN_N.M","G19/CCOUT/DTCOLNHN_N.M","G19/CCOUT/DTCNLNHN_N.M","G19/CCOUT/DTCTLNS_N.M","G19/CCOUT/DTCTLNV_N.M","G19/CCOUT/DTCTL_XDF_BA.M","G19/CCOUT/DTCTLR_XDF_BA.M","G19/CCOUT/DTCTLN_XDF_BA.M","G19/CCOUT/DTCTL_XDF_BA_N.M","G19/CCOUT/DTCNL_XDF_BA_N.M","G19/CCOUT/DTCTLHD_XDF_BA_N.M","G19/CCOUT/DTCOLHD_XDF_BA_N.M","G19/CCOUT/H0.DTCOLHDB_XDF_BA_N.M","G19/CCOUT/H0.DTCOLHDS_XDF_BA_N.M","G19/CCOUT/DTCNLHD_XDF_BA_N.M","G19/CCOUT/DTCTLHF_XDF_BA_N.M","G19/CCOUT/DTCOLHF_XDF_BA_N.M","G19/CCOUT/DTCNLHF_XDF_BA_N.M","G19/CCOUT/DTCOLHC_XDF_BA_N.M","G19/CCOUT/DTCOLHG_XDF_BA_N.M","G19/CCOUT/DTCOLHE_XDF_BA_N.M","G19/CCOUT/DTCTLHN_XDF_BA_N.M","G19/CCOUT/DTCOLHN_XDF_BA_N.M","G19/CCOUT/DTCNLHN_XDF_BA_N.M","G19/CCOUT/DTCTLR_XDF_BA_N.M","G19/CCOUT/DTCNLR_XDF_BA_N.M","G19/CCOUT/DTCTLRHD_XDF_BA_N.M","G19/CCOUT/DTCOLRHD_XDF_BA_N.M","G19/CCOUT/H0.DTCOLRHDB_XDF_BA_N.M","G19/CCOUT/H0.DTCOLRHDS_XDF_BA_N.M","G19/CCOUT/DTCNLRHD_XDF_BA_N.M","G19/CCOUT/DTCTLRHF_XDF_BA_N.M","G19/CCOUT/DTCOLRHF_XDF_BA_N.M","G19/CCOUT/DTCNLRHF_XDF_BA_N.M","G19/CCOUT/DTCOLRHC_XDF_BA_N.M","G19/CCOUT/DTCTLRHN_XDF_BA_N.M","G19/CCOUT/DTCOLRHN_XDF_BA_N.M","G19/CCOUT/DTCNLRHN_XDF_BA_N.M","G19/CCOUT/DTCTLN_XDF_BA_N.M","G19/CCOUT/DTCNLN_XDF_BA_N.M","G19/CCOUT/DTCTLNHD_XDF_BA_N.M","G19/CCOUT/DTCOLNHD_XDF_BA_N.M","G19/CCOUT/H0.DTCOLNHDB_XDF_BA_N.M","G19/CCOUT/H0.DTCOLNHDS_XDF_BA_N.M","G19/CCOUT/DTCNLNHD_XDF_BA_N.M","G19/CCOUT/DTCTLNHF_XDF_BA_N.M","G19/CCOUT/DTCOLNHF_XDF_BA_N.M","G19/CCOUT/DTCNLNHF_XDF_BA_N.M","G19/CCOUT/DTCOLNHC_XDF_BA_N.M","G19/CCOUT/DTCOLNHG_XDF_BA_N.M","G19/CCOUT/DTCOLNHE_XDF_BA_N.M","G19/CCOUT/DTCTLNHN_XDF_BA_N.M","G19/CCOUT/DTCOLNHN_XDF_BA_N.M","G19/CCOUT/DTCNLNHN_XDF_BA_N.M","G19/CCOUT/DTCTLNS_XDF_BA_N.M","G19/CCOUT/DTCTLNV_XDF_BA_N.M","G19/TERMS/RIFLPBCIANM48_N.M","G19/TERMS/RIFLPBCIANM60_N.M","G19/TERMS/RIFLPBCIPLM24_N.M","G19/TERMS/RIFSPBCICC_N.M","G19/TERMS/RIFSPBCICCI_N.M","G19/TERMS/H0.RIFLPCFAN_N.M","G19/TERMS/H0.DTCTLVNM_N.M","G19/TERMS/H0.DTCTLVNL_N.M","G19/TERMS/H0.DTCTLVNA_N.M","G19/TERMS/DTCTLVENM_N.M","G19/TERMS/RIELPCFAN_N.M","G19/TERMS/DTCTLVENA_N.M"
"Time Period","DTCTL_@%A_BA.M","DTCTLR_@%A_BA.M","DTCTLN_@%A_BA.M","DTCTL.M","DTCTLR.M","DTCTLN.M","DTCTL_N.M","DTCNL_N.M","DTCTLHD_N.M","DTCOLHD_N.M","H0.DTCOLHDB_N.M","H0.DTCOLHDS_N.M","DTCNLHD_N.M","DTCTLHF_N.M","DTCOLHF_N.M","DTCNLHF_N.M","DTCOLHC_N.M","DTCOLHG_N.M","DTCOLHE_N.M","DTCTLHN_N.M","DTCOLHN_N.M","DTCNLHN_N.M","DTCTLR_N.M","DTCNLR_N.M","DTCTLRHD_N.M","DTCOLRHD_N.M","H0.DTCOLRHDB_N.M","H0.DTCOLRHDS_N.M","DTCNLRHD_N.M","DTCTLRHF_N.M","DTCOLRHF_N.M","DTCNLRHF_N.M","DTCOLRHC_N.M","DTCTLRHN_N.M","DTCOLRHN_N.M","DTCNLRHN_N.M","DTCTLN_N.M","DTCNLN_N.M","DTCTLNHD_N.M","DTCOLNHD_N.M","H0.DTCOLNHDB_N.M","H0.DTCOLNHDS_N.M","DTCNLNHD_N.M","DTCTLNHF_N.M","DTCOLNHF_N.M","DTCNLNHF_N.M","DTCOLNHC_N.M","DTCOLNHG_N.M","DTCOLNHE_N.M","DTCTLNHN_N.M","DTCOLNHN_N.M","DTCNLNHN_N.M","DTCTLNS_N.M","DTCTLNV_N.M","DTCTL_XDF_BA.M","DTCTLR_XDF_BA.M","DTCTLN_XDF_BA.M","DTCTL_XDF_BA_N.M","DTCNL_XDF_BA_N.M","DTCTLHD_XDF_BA_N.M","DTCOLHD_XDF_BA_N.M","H0.DTCOLHDB_XDF_BA_N.M","H0.DTCOLHDS_XDF_BA_N.M","DTCNLHD_XDF_BA_N.M","DTCTLHF_XDF_BA_N.M","DTCOLHF_XDF_BA_N.M","DTCNLHF_XDF_BA_N.M","DTCOLHC_XDF_BA_N.M","DTCOLHG_XDF_BA_N.M","DTCOLHE_XDF_BA_N.M","DTCTLHN_XDF_BA_N.M","DTCOLHN_XDF_BA_N.M","DTCNLHN_XDF_BA_N.M","DTCTLR_XDF_BA_N.M","DTCNLR_XDF_BA_N.M","DTCTLRHD_XDF_BA_N.M","DTCOLRHD_XDF_BA_N.M","H0.DTCOLRHDB_XDF_BA_N.M","H0.DTCOLRHDS_XDF_BA_N.M","DTCNLRHD_XDF_BA_N.M","DTCTLRHF_XDF_BA_N.M","DTCOLRHF_XDF_BA_N.M","DTCNLRHF_XDF_BA_N.M","DTCOLRHC_XDF_BA_N.M","DTCTLRHN_XDF_BA_N.M","DTCOLRHN_XDF_BA_N.M","DTCNLRHN_XDF_BA_N.M","DTCTLN_XDF_BA_N.M","DTCNLN_XDF_BA_N.M","DTCTLNHD_XDF_BA_N.M","DTCOLNHD_XDF_BA_N.M","H0.DTCOLNHDB_XDF_BA_N.M","H0.DTCOLNHDS_XDF_BA_N.M","DTCNLNHD_XDF_BA_N.M","DTCTLNHF_XDF_BA_N.M","DTCOLNHF_XDF_BA_N.M","DTCNLNHF_XDF_BA_N.M","DTCOLNHC_XDF_BA_N.M","DTCOLNHG_XDF_BA_N.M","DTCOLNHE_XDF_BA_N.M","DTCTLNHN_XDF_BA_N.M","DTCOLNHN_XDF_BA_N.M","DTCNLNHN_XDF_BA_N.M","DTCTLNS_XDF_BA_N.M","DTCTLNV_XDF_BA_N.M","RIFLPBCIANM48_N.M","RIFLPBCIANM60_N.M","RIFLPBCIPLM24_N.M","RIFSPBCICC_N.M","RIFSPBCICCI_N.M","H0.RIFLPCFAN_N.M","H0.DTCTLVNM_N.M","H0.DTCTLVNL_N.M","H0.DTCTLVNA_N.M","DTCTLVENM_N.M","RIELPCFAN_N.M","DTCTLVENA_N.M"
1943-01,,,,6577.83,,6577.83,6550.00,,2554.00,2554.00,2118.00,436.00,,1076.00,1076.00,,20.00,,,2900.00,2900.00,,,,,,,,,,,,,,,,6550.00,,2554.00,2554.00,2118.00,436.00,,1076.00,1076.00,,20.00,,,2900.00,2900.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943-02,-20.94,,-20.94,6463.04,,6463.04,6276.00,,2444.00,2444.00,2020.00,424.00,,994.00,994.00,,19.00,,,2819.00,2819.00,,,,,,,,,,,,,,,,6276.00,,2444.00,2444.00,2020.00,424.00,,994.00,994.00,,19.00,,,2819.00,2819.00,,,,-114.79,,-114.79,-274.00,,-110.00,-110.00,-98.00,-12.00,,-82.00,-82.00,,-1.00,,,-81.00,-81.00,,,,,,,,,,,,,,,,-274.00,,-110.00,-110.00,-98.00,-12.00,,-82.00,-82.00,,-1.00,,,-81.00,-81.00,,,,,,,,,,,,,,,
1943-03,-42.49,,-42.49,6234.21,,6234.21,6099.00,,2376.00,2376.00,1962.00,414.00,,938.00,938.00,,19.00,,,2766.00,2766.00,,,,,,,,,,,,,,,,6099.00,,2376.00,2376.00,1962.00,414.00,,938.00,938.00,,19.00,,,2766.00,2766.00,,,474.00,-228.83,,-228.83,-177.00,,-68.00,-68.00,-58.00,-10.00,,-56.00,-56.00,,0.00,,,-53.00,-53.00,,,,,,,,,,,,,,,,-177.00,,-68.00,-68.00,-58.00,-10.00,,-56.00,-56.00,,0.00,,,-53.00,-53.00,,,,,,,,,,,,,,,
1943-04,-20.88,,-20.88,6125.75,,6125.75,6065.00,,2324.00,2324.00,1914.00,410.00,,888.00,888.00,,18.00,,,2835.00,2835.00,,,,,,,,,,,,,,,,6065.00,,2324.00,2324.00,1914.00,410.00,,888.00,888.00,,18.00,,,2835.00,2835.00,,,ND,-108.45,,-108.45,-34.00,,-52.00,-52.00,-48.00,-4.00,,-50.00,-50.00,,-1.00,,,69.00,69.00,,,,,,,,,,,,,,,,-34.00,,-52.00,-52.00,-48.00,-4.00,,-50.00,-50.00,,-1.00,,,69.00,69.00,,,,,,,,,,,,,,,
1943-05,-37.12,,-37.12,5936.26,,5936.26,5967.00,,2278.00,2278.00,1880.00,398.00,,841.00,841.00,,17.00,,,2831.00,2831.00,,,,,,,,,,,,,,,,5967.00,,2278.00,2278.00,1880.00,398.00,,841.00,841.00,,17.00,,,2831.00,2831.00,,,ND,-189.49,,-189.49,-98.00,,-46.00,-46.00,-34.00,-12.00,,-47.00,-47.00,,-1.00,,,-4.00,-4.00,,,,,,,,,,,,,,,,-98.00,,-46.00,-46.00,-34.00,-12.00,,-47.00,-47.00,,-1.00,,,-4.00,-4.00,,,,,,,,,,,,,,,
1943-06,-23.05,,-23.05,5822.23,,5822.23,5893.00,,2228.00,2228.00,1838.00,390.00,,821.00,821.00,,17.00,,,2827.00,2827.00,,,,,,,,,,,,,,,,5893.00,,2228.00,2228.00,1838.00,390.00,,821.00,821.00,,17.00,,,2827.00,2827.00,,,384.00,-114.03,,-114.03,-74.00,,-50.00,-50.00,-42.00,-8.00,,-20.00,-20.00,,0.00,,,-4.00,-4.00,,,,,,,,,,,,,,,,-74.00,,-50.00,-50.00,-42.00,-8.00,,-20.00,-20.00,,0.00,,,-4.00,-4.00,,,-30.00,,,,,,,,,,,,
1943-07,-21.41,,-21.41,5718.37,,5718.37,5681.00,,2154.00,2154.00,1774.00,380.00,,793.00,793.00,,16.00,,,2718.00,2718.00,,,,,,,,,,,,,,,,5681.00,,2154.00,2154.00,1774.00,380.00,,793.00,793.00,,16.00,,,2718.00,2718.00,,,ND,-103.86,,-103.86,-212.00,,-74.00,-74.00,-64.00,-10.00,,-28.00,-28.00,,-1.00,,,-109.00,-109.00,,,,,,,,,,,,,,,,-212.00,,-74.00,-74.00,-64.00,-10.00,,-28.00,-28.00,,-1.00,,,-109.00,-109.00,,,ND,,,,,,,,,,,,
1943-08,-16.71,,-16.71,5638.75,,5638.75,5561.00,,2108.00,2108.00,1742.00,366.00,,773.00,773.00,,16.00,,,2664.00,2664.00,,,,,,,,,,,,,,,,5561.00,,2108.00,2108.00,1742.00,366.00,,773.00,773.00,,16.00,,,2664.00,2664.00,,,ND,-79.62,,-79.62,-120.00,,-46.00,-46.00,-32.00,-14.00,,-20.00,-20.00,,0.00,,,-54.00,-54.00,,,,,,,,,,,,,,,,-120.00,,-46.00,-46.00,-32.00,-14.00,,-20.00,-20.00,,0.00,,,-54.00,-54.00,,,ND,,,,,,,,,,,,
1943-09,1.88,,1.88,5647.59,,5647.59,5619.00,,2123.00,2123.00,1763.00,360.00,,766.00,766.00,,16.00,,,2714.00,2714.00,,,,,,,,,,,,,,,,5619.00,,2123.00,2123.00,1763.00,360.00,,766.00,766.00,,16.00,,,2714.00,2714.00,,,353.00,8.83,,8.83,58.00,,15.00,15.00,21.00,-6.00,,-7.00,-7.00,,0.00,,,50.00,50.00,,,,,,,,,,,,,,,,58.00,,15.00,15.00,21.00,-6.00,,-7.00,-7.00,,0.00,,,50.00,50.00,,,-10.33,,,,,,,,,,,,
1943-10,0.67,,0.67,5650.74,,5650.74,5707.00,,2133.00,2133.00,1779.00,354.00,,753.00,753.00,,16.00,,,2805.00,2805.00,,,,,,,,,,,,,,,,5707.00,,2133.00,2133.00,1779.00,354.00,,753.00,753.00,,16.00,,,2805.00,2805.00,,,ND,3.15,,3.15,88.00,,10.00,10.00,16.00,-6.00,,-13.00,-13.00,,0.00,,,91.00,91.00,,,,,,,,,,,,,,,,88.00,,10.00,10.00,16.00,-6.00,,-13.00,-13.00,,0.00,,,91.00,91.00,,,ND,,,,,,,,,,,,
1943-11,-15.69,,-15.69,5576.87,,5576.87,5718.00,,2113.00,2113.00,1771.00,342.00,,746.00,746.00,,15.00,,,2844.00,2844.00,,,,,,,,,,,,,,,,5718.00,,2113.00,2113.00,1771.00,342.00,,746.00,746.00,,15.00,,,2844.00,2844.00,,,ND,-73.87,,-73.87,11.00,,-20.00,-20.00,-8.00,-12.00,,-7.00,-7.00,,-1.00,,,39.00,39.00,,,,,,,,,,,,,,,,11.00,,-20.00,-20.00,-8.00,-12.00,,-7.00,-7.00,,-1.00,,,39.00,39.00,,,ND,,,,,,,,,,,,
1943-12,-24.60,,-24.60,5462.52,,5462.52,5663.00,,2044.00,2044.00,1704.00,340.00,,763.00,763.00,,15.00,,,2841.00,2841.00,,,,,,,,,,,,,,,,5663.00,,2044.00,2044.00,1704.00,340.00,,763.00,763.00,,15.00,,,2841.00,2841.00,,,339.00,-114.35,,-114.35,-55.00,,-69.00,-69.00,-67.00,-2.00,,17.00,17.00,,0.00,,,-3.00,-3.00,,,,,,,,,,,,,,,,-55.00,,-69.00,-69.00,-67.00,-2.00,,17.00,17.00,,0.00,,,-3.00,-3.00,,,-4.67,,,,,,,,,,,,
1944-01,-14.05,,-14.05,5398.57,,5398.57,5377.00,,1976.00,1976.00,1644.00,332.00,,738.00,738.00,,15.00,,,2648.00,2648.00,,,,,,,,,,,,,,,,5377.00,,1976.00,1976.00,1644.00,332.00,,738.00,738.00,,15.00,,,2648.00,2648.00,,,ND,-63.95,,-63.95,-286.00,,-68.00,-68.00,-60.00,-8.00,,-25.00,-25.00,,0.00,,,-193.00,-193.00,,,,,,,,,,,,,,,,-286.00,,-68.00,-68.00,-60.00,-8.00,,-25.00,-25.00,,0.00,,,-193.00,-193.00,,,ND,,,,,,,,,,,,
